

gen best mean std
0 85.292892 10.703556 28.35706
1 89.423414 36.963075 33.855936
2 89.423414 59.624617 22.535975
3 91.516695 65.726066 16.174766
4 91.516695 67.071694 15.104526
5 91.516695 68.293755 12.422477
6 91.516695 68.688491 10.915083
7 91.516695 70.854405 9.037591
8 91.516695 70.109057 11.171096
9 91.516695 68.517204 14.404426
10 91.516695 69.574916 11.68839
11 91.516695 70.76027 9.50303
12 91.516695 70.418392 10.35709
13 91.516695 69.541155 12.479525
14 91.516695 71.450657 10.782136
15 91.516695 72.347538 8.097694
16 91.516695 72.293049 9.521953
17 91.516695 71.672963 9.759464
doomsday
18 91.516695 61.616382 29.777998
19 91.516695 71.243222 12.253137
20 91.516695 71.839372 10.28591
21 91.516695 69.986322 12.376403
22 91.516695 70.890688 12.241469
23 91.516695 71.552858 8.940324
24 91.516695 70.435114 9.211881
25 94.089365 71.179688 9.728543
26 94.089365 71.224366 9.218442
27 94.089365 69.591973 12.252304
28 94.089365 69.853498 13.862941
29 94.089365 72.105958 9.455908
